layer,d_out,d_in,base_fro,base_rms
down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k,320,320,25.18630181543573,0.07870719317323666
down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0,320,320,15.19916547663262,0.04749739211447694
down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,320,320,27.434839492153536,0.0857338734129798
down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v,320,320,15.920138260091006,0.04975043206278439
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k,320,768,29.261425265352088,0.05902552746822999
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0,320,320,2.9640278692873143,0.009262587091522858
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_q,320,320,21.80170264948113,0.06813032077962852
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,320,768,10.298183886700837,0.02077327848404891
down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_k,320,320,25.48752380460833,0.07964851188940103
down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.0,320,320,15.772089616380706,0.04928778005118971
down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_q,320,320,26.924402192716183,0.08413875685223807
down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_v,320,320,17.122803321884323,0.05350876038088851
down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_k,320,768,23.157499495488008,0.04671281764887068
down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_out.0,320,320,2.436302471127136,0.0076134452222722995
down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_q,320,320,17.9071400740887,0.05595981273152719
down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,320,768,7.379178038745112,0.014885121694145482
down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_k,640,640,45.95597933596534,0.07180621771244584
down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_out.0,640,640,28.63088368769238,0.04473575576201934
down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_q,640,640,47.13739548540906,0.07365218044595165
down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_v,640,640,28.54385519357369,0.044599773739958895
down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_k,640,768,39.22855203702088,0.05595406991911868
down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_out.0,640,640,7.596235968858021,0.011869118701340659
down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_q,640,640,36.435167537300835,0.05692994927703256
down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,640,768,15.719418309380362,0.02242156249715455
down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_k,640,640,45.05968957961407,0.07040576496814699
down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_out.0,640,640,29.031355157776986,0.04536149243402654
down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_q,640,640,45.96936400125789,0.07182713125196545
down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_v,640,640,28.39452074954153,0.044366438671158644
down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_k,640,768,32.91896987680822,0.04695432909208573
down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out.0,640,640,5.748355094386792,0.008981804834979363
down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_q,640,640,31.727425674213624,0.049574102615958786
down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,640,768,12.706827550734785,0.018124521051733233
down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_k,1280,1280,78.11345406935101,0.061026135991680476
down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_out.0,1280,1280,52.93301227803075,0.04135391584221153
down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_q,1280,1280,77.97130200860167,0.06091507969422005
down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_v,1280,1280,47.15117425243016,0.036836854884711064
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_k,1280,768,43.872370718652036,0.04424920863332741
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_out.0,1280,1280,25.66562715319516,0.020051271213433718
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_q,1280,1280,47.76180545093858,0.03731391050854577
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,1280,768,29.07684027676955,0.029326593268818105
down_blocks.2.attentions.1.transformer_blocks.0.attn1.to_k,1280,1280,73.54482924931268,0.057456897851025535
down_blocks.2.attentions.1.transformer_blocks.0.attn1.to_out.0,1280,1280,57.958938662992665,0.04528042083046302
down_blocks.2.attentions.1.transformer_blocks.0.attn1.to_q,1280,1280,73.12902955737479,0.05713205434169906
down_blocks.2.attentions.1.transformer_blocks.0.attn1.to_v,1280,1280,53.69283188879775,0.041947524913123244
down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_k,1280,768,48.1114971588165,0.04852474668156295
down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_out.0,1280,1280,28.632967416716497,0.02236950579430976
down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_q,1280,1280,53.90167811824511,0.04211068602987899
down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,1280,768,30.348688077231575,0.030609365495406635
mid_block.attentions.0.transformer_blocks.0.attn1.to_k,1280,1280,46.661309529144205,0.03645414806964391
mid_block.attentions.0.transformer_blocks.0.attn1.to_out.0,1280,1280,54.853048360352794,0.04285394403152562
mid_block.attentions.0.transformer_blocks.0.attn1.to_q,1280,1280,46.13655352802329,0.0360441824437682
mid_block.attentions.0.transformer_blocks.0.attn1.to_v,1280,1280,49.92612098641886,0.039004782020639735
mid_block.attentions.0.transformer_blocks.0.attn2.to_k,1280,768,40.49191429094594,0.04083971606898222
mid_block.attentions.0.transformer_blocks.0.attn2.to_out.0,1280,1280,41.26589619834334,0.032238981404955735
mid_block.attentions.0.transformer_blocks.0.attn2.to_q,1280,1280,42.468774026201764,0.03317872970797013
mid_block.attentions.0.transformer_blocks.0.attn2.to_v,1280,768,38.61634239976809,0.038948034116079465
up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_k,1280,1280,69.16183853062543,0.05403268635205112
up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_out.0,1280,1280,64.44237640690424,0.05034560656789394
up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_q,1280,1280,68.94040159008401,0.05385968874225313
up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_v,1280,1280,61.784529065135374,0.04826916333213701
up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_k,1280,768,51.537230880536505,0.05197990544530325
up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_out.0,1280,1280,38.64877144295588,0.030194352689809283
up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_q,1280,1280,57.681910481137045,0.04506399256338832
up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,1280,768,38.71243275942579,0.03904494983552878
up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_k,1280,1280,77.98107792324217,0.060922717127532944
up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_out.0,1280,1280,60.14321863355691,0.04698688955746634
up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_q,1280,1280,77.986008601273,0.06092656921974453
up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_v,1280,1280,57.13744120082939,0.04463862593814796
up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_k,1280,768,53.656009992940106,0.05411688362671765
up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out.0,1280,1280,42.23956743401062,0.032999662057820796
up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_q,1280,1280,60.5051893968326,0.047269679216275465
up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,1280,768,43.48065305034544,0.04385412634015901
up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_k,1280,1280,74.42057792854328,0.05814107650667444
up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_out.0,1280,1280,60.527734771321626,0.04728729279009502
up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_q,1280,1280,74.66863625557713,0.05833487207466963
